id,名称,カテゴリ,都道府県コード,都道府県名,市区町村コード,市区町村名,緯度,経度,情報,情報の出典,データソース
NEW05093,追立ダム（利水）,ダム,36,徳島県,,Unknown,33.8358333,134.2919444,徳島県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05094,小見野々ダム,ダム,36,徳島県,,Unknown,33.8061222,134.2449472,徳島県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05095,真名川ダム,ダム,18,福井県,,Unknown,35.9188889,136.5416667,福井県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05096,浄土寺川ダム,ダム,18,福井県,,Unknown,36.0633333,136.5419444,福井県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05097,浄土寺川ダム（貯砂ダム）,ダム,18,福井県,,Unknown,36.0630556,136.5488889,福井県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05098,龍ヶ鼻ダム,ダム,18,福井県,,Unknown,36.1519444,136.3463889,福井県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05099,金城ダム,ダム,47,沖縄県,,Unknown,26.2125,127.7172222,沖縄県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05100,広川ダム,ダム,30,和歌山県,,Unknown,33.9736111,135.2330556,和歌山県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05101,二川ダム,ダム,30,和歌山県,,Unknown,34.0808333,135.3588889,和歌山県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05102,羽地ダム,ダム,47,沖縄県,,Unknown,26.6075,128.0205556,沖縄県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
